city,class_nonnull,class_rate_in_sample,facade_material_nonnull,facade_material_rate_in_sample,features_total_ogr,height_nonnull,height_rate_in_sample,min_height_nonnull,min_height_rate_in_sample,note,num_floors_nonnull,num_floors_rate_in_sample,roof_height_nonnull,roof_height_rate_in_sample,roof_material_nonnull,roof_material_rate_in_sample,roof_shape_nonnull,roof_shape_rate_in_sample,sample_rows_used,subtype_nonnull,subtype_rate_in_sample
Bangkok,14741,0.233658,3,4.8e-05,63088,155,0.002457,4,6.3e-05,full_scan,8993,0.142547,3,4.8e-05,3,4.8e-05,62,0.000983,63088,15240,0.241567
Beijing,1639,0.03416,398,0.008295,47980,525,0.010942,0,0.0,full_scan,2729,0.056878,462,0.009629,451,0.0094,685,0.014277,47980,1793,0.03737
Cairo,223,0.004639,10,0.000208,48075,105,0.002184,0,0.0,full_scan,230,0.004784,0,0.0,4,8.3e-05,3218,0.066937,48075,350,0.00728
Delhi,774,0.01626,44,0.000924,47601,47,0.000987,1,2.1e-05,full_scan,514,0.010798,0,0.0,10,0.00021,496,0.01042,47601,887,0.018634
Dhaka,5715,0.105167,3239,0.059604,54342,417,0.007674,5,9.2e-05,full_scan,5648,0.103934,0,0.0,3,5.5e-05,31,0.00057,54342,5915,0.108848
Dubai,1184,0.05138,9,0.000391,23044,1065,0.046216,1,4.3e-05,full_scan,1501,0.065136,1,4.3e-05,4,0.000174,4,0.000174,23044,1270,0.055112
Fez,137,0.017254,0,0.0,7940,0,0.0,0,0.0,full_scan,39,0.004912,0,0.0,0,0.0,0,0.0,7940,183,0.023048
Istanbul,3881,0.095641,22,0.000542,40579,196,0.00483,7,0.000173,full_scan,936,0.023066,24,0.000591,36,0.000887,85,0.002095,40579,4203,0.103576
Jaipur,70,0.001621,0,0.0,43190,6,0.000139,0,0.0,full_scan,22,0.000509,0,0.0,0,0.0,13,0.000301,43190,81,0.001875
Jakarta,1593,0.016533,2,2.1e-05,96350,39,0.000405,0,0.0,full_scan,2130,0.022107,0,0.0,0,0.0,6,6.2e-05,96350,2007,0.02083
Kinshasa,976,0.011976,2,2.5e-05,81499,16,0.000196,0,0.0,full_scan,535,0.006564,0,0.0,0,0.0,2,2.5e-05,81499,1055,0.012945
Lagos,1538,0.011654,0,0.0,131976,1499,0.011358,184,0.001394,full_scan,1777,0.013465,0,0.0,0,0.0,1,8e-06,131976,1607,0.012176
Lima,4614,0.078918,229,0.003917,58466,3760,0.064311,2,3.4e-05,full_scan,3625,0.062002,2,3.4e-05,2,3.4e-05,17,0.000291,58466,4930,0.084323
London,16633,0.438981,4826,0.127369,37890,6894,0.181948,12,0.000317,full_scan,13094,0.345579,21,0.000554,299,0.007891,1563,0.041251,37890,18387,0.485273
Los_Angeles,48801,0.914853,19,0.000356,53343,52818,0.990158,2,3.7e-05,full_scan,648,0.012148,0,0.0,12,0.000225,18,0.000337,53343,48966,0.917946
Madrid,15915,0.719355,121,0.005469,22124,2010,0.090852,3,0.000136,full_scan,4072,0.184054,2,9e-05,84,0.003797,141,0.006373,22124,15974,0.722021
Marrakech,3413,0.119616,0,0.0,28533,189,0.006624,0,0.0,full_scan,249,0.008727,0,0.0,0,0.0,4,0.00014,28533,3475,0.121789
Mexico_City,1485,0.029379,3,5.9e-05,50547,48,0.00095,0,0.0,full_scan,705,0.013947,0,0.0,2,4e-05,17,0.000336,50547,1644,0.032524
Mumbai,724,0.054518,1,7.5e-05,13280,12,0.000904,0,0.0,full_scan,335,0.025226,0,0.0,0,0.0,9,0.000678,13280,785,0.059111
Nairobi,904,0.027513,5,0.000152,32857,63,0.001917,0,0.0,full_scan,613,0.018657,2,6.1e-05,0,0.0,12,0.000365,32857,1046,0.031835
New_York,25438,0.136171,1615,0.008645,186809,183130,0.980306,22,0.000118,full_scan,9318,0.04988,55,0.000294,2128,0.011391,2809,0.015037,186809,26641,0.142611
Paris,14020,0.609777,136,0.005915,22992,723,0.031446,70,0.003045,full_scan,14429,0.627566,20,0.00087,133,0.005785,591,0.025705,22992,14211,0.618085
Riyadh,7067,0.377712,0,0.0,18710,20,0.001069,0,0.0,full_scan,9,0.000481,1,5.3e-05,1,5.3e-05,2,0.000107,18710,7140,0.381614
Sao_Paulo,738,0.014613,3,5.9e-05,50504,47214,0.934857,55,0.001089,full_scan,208,0.004118,1,2e-05,52,0.00103,166,0.003287,50504,879,0.017405
Seoul,3797,0.146489,13,0.000502,25920,563,0.021721,13,0.000502,full_scan,1443,0.055671,2,7.7e-05,32,0.001235,136,0.005247,25920,4209,0.162384
Shanghai,5080,0.175124,15,0.000517,29008,231,0.007963,0,0.0,full_scan,1813,0.0625,0,0.0,0,0.0,75,0.002585,29008,5165,0.178054
Singapore,3555,0.208163,415,0.0243,17078,2105,0.123258,20,0.001171,full_scan,5022,0.294063,13,0.000761,474,0.027755,314,0.018386,17078,3775,0.221045
Sydney,3064,0.508126,40,0.006633,6030,1305,0.216418,0,0.0,full_scan,2952,0.489552,1,0.000166,7,0.001161,64,0.010614,6030,3153,0.522886
Tehran,2970,0.087435,3,8.8e-05,33968,190,0.005593,0,0.0,full_scan,279,0.008214,0,0.0,1,2.9e-05,18,0.00053,33968,3186,0.093794
Tokyo,5202,0.064365,206,0.002549,80820,1048,0.012967,46,0.000569,full_scan,5603,0.069327,43,0.000532,40,0.000495,361,0.004467,80820,5517,0.068263
