city,year,month,day,size_bytes
Delhi,2022,5,1,53043
Delhi,2022,5,2,52579
Delhi,2022,5,3,52808
Delhi,2022,5,4,52789
Delhi,2022,5,5,52631
Delhi,2022,5,6,53016
Delhi,2022,5,7,52887
Delhi,2022,5,8,52820
Delhi,2022,5,9,52584
Delhi,2022,5,10,52701
Delhi,2022,5,11,52625
Delhi,2022,5,12,52781
Delhi,2022,5,13,52678
Delhi,2022,5,14,52812
Delhi,2022,5,15,52943
Delhi,2022,5,16,53182
Delhi,2022,5,17,53074
Delhi,2022,5,18,53003
Delhi,2022,5,19,52822
Delhi,2022,5,20,52885
Delhi,2022,5,21,53142
Delhi,2022,5,22,52847
Delhi,2022,5,23,52670
Delhi,2022,5,24,53107
Delhi,2022,5,25,53005
Delhi,2022,5,26,52619
Delhi,2022,5,27,52964
Delhi,2022,5,28,52874
Delhi,2022,5,29,52790
Delhi,2022,5,30,52872
Delhi,2022,5,31,52945
Dubai,2019,6,1,76122
Dubai,2019,6,2,76183
Dubai,2019,6,3,76278
Dubai,2019,6,4,76326
Dubai,2019,6,5,76290
Dubai,2019,6,6,76255
Dubai,2019,6,7,76274
Dubai,2019,6,8,76206
Dubai,2019,6,9,76078
Dubai,2019,6,10,76134
Dubai,2019,6,11,76531
Dubai,2019,6,12,76234
Dubai,2019,6,13,76248
Dubai,2019,6,14,76319
Dubai,2019,6,15,76513
Dubai,2019,6,16,76131
Dubai,2019,6,17,76318
Dubai,2019,6,18,76847
Dubai,2019,6,19,76323
Dubai,2019,6,20,76170
Dubai,2019,6,21,76477
Dubai,2019,6,22,76211
Dubai,2019,6,23,76174
Dubai,2019,6,24,76329
Dubai,2019,6,25,76395
Dubai,2019,6,26,76124
Dubai,2019,6,27,76217
Dubai,2019,6,28,76193
Dubai,2019,6,29,76390
Dubai,2019,6,30,76120
Dubai,2019,7,1,76027
Dubai,2019,7,2,75999
Dubai,2019,7,3,76212
Dubai,2019,7,4,76219
Dubai,2019,7,5,76083
Dubai,2019,7,6,76157
Dubai,2019,7,7,76525
Dubai,2019,7,8,76140
Dubai,2019,7,9,76157
Dubai,2019,7,10,76053
Dubai,2019,7,11,76374
Dubai,2019,7,12,76305
Dubai,2019,7,13,76411
Dubai,2019,7,14,76286
Dubai,2019,7,15,76120
Dubai,2019,7,16,76200
Dubai,2019,7,17,76203
Dubai,2019,7,18,76341
Dubai,2019,7,19,76241
Dubai,2019,7,20,76201
Dubai,2019,7,21,76217
Dubai,2019,7,22,76223
Dubai,2019,7,23,76185
Dubai,2019,7,24,76138
Dubai,2019,7,25,76146
Dubai,2019,7,26,76224
Dubai,2019,7,27,76509
Dubai,2019,7,28,76199
Dubai,2019,7,29,76560
Dubai,2019,7,30,76198
Dubai,2019,7,31,76361
Dubai,2019,8,1,76049
Dubai,2019,8,2,76110
Dubai,2019,8,3,76222
Dubai,2019,8,4,76190
Dubai,2019,8,5,76037
Dubai,2019,8,6,76113
Dubai,2019,8,7,76311
Dubai,2019,8,8,76165
Dubai,2019,8,9,76435
Dubai,2019,8,10,76396
Dubai,2019,8,11,76082
Dubai,2019,8,12,76516
Dubai,2019,8,13,76350
Dubai,2019,8,14,76508
Dubai,2019,8,15,76235
Dubai,2019,8,16,76167
Dubai,2019,8,17,76227
Dubai,2019,8,18,76164
Dubai,2019,8,19,76176
Dubai,2019,8,20,76235
Dubai,2019,8,21,76409
Dubai,2019,8,22,76159
Dubai,2019,8,23,76537
Dubai,2019,8,24,76144
Dubai,2019,8,25,76082
Dubai,2019,8,26,76004
Dubai,2019,8,27,76537
Dubai,2019,8,28,76242
Dubai,2019,8,29,76226
Dubai,2019,8,30,76025
Dubai,2019,8,31,75978
Dubai,2020,6,1,76215
Dubai,2020,6,2,76562
Dubai,2020,6,3,76112
Dubai,2020,6,4,76101
Dubai,2020,6,5,76214
Dubai,2020,6,6,76510
Dubai,2020,6,7,76598
Dubai,2020,6,8,76285
Dubai,2020,6,9,76779
Dubai,2020,6,10,76353
Dubai,2020,6,11,76110
Dubai,2020,6,12,75981
Dubai,2020,6,13,76176
Dubai,2020,6,14,76548
Dubai,2020,6,15,76494
Dubai,2020,6,16,76151
Dubai,2020,6,17,76408
Dubai,2020,6,18,76204
Dubai,2020,6,19,76230
Dubai,2020,6,20,76142
Dubai,2020,6,21,76340
Dubai,2020,6,22,76095
Dubai,2020,6,23,76125
Dubai,2020,6,24,76133
Dubai,2020,6,25,76111
Dubai,2020,6,26,76122
Dubai,2020,6,27,76135
