city,features_total_ogr,era5_days,height_rate_in_sample,height_absence_rate_in_sample,class_rate_in_sample,num_floors_rate_in_sample,subtype_rate_in_sample,typology
Fez,7940,0,0,1,0.017254,0.004912,0.023048,evidence_blind
Jaipur,43190,0,0.000139,0.999861,0.001621,0.000509,0.001875,evidence_blind
Kinshasa,81499,0,0.000196,0.999804,0.011976,0.006564,0.012945,evidence_blind
Jakarta,96350,0,0.000405,0.999595,0.016533,0.022107,0.02083,evidence_blind
Mumbai,13280,0,0.000904,0.999096,0.054518,0.025226,0.059111,evidence_blind
Mexico_City,50547,0,0.00095,0.99905,0.029379,0.013947,0.032524,evidence_blind
Delhi,47601,31,0.000987,0.999013,0.01626,0.010798,0.018634,evidence_blind
Riyadh,18710,0,0.001069,0.998931,0.377712,0.000481,0.381614,proxy_limited
Nairobi,32857,0,0.001917,0.998083,0.027513,0.018657,0.031835,proxy_limited
Cairo,48075,0,0.002184,0.997816,0.004639,0.004784,0.00728,proxy_limited
Bangkok,63088,0,0.002457,0.997543,0.233658,0.142547,0.241567,proxy_limited
Istanbul,40579,0,0.00483,0.99517,0.095641,0.023066,0.103576,proxy_limited
Tehran,33968,0,0.005593,0.994407,0.087435,0.008214,0.093794,proxy_limited
Marrakech,28533,552,0.006624,0.993376,0.119616,0.008727,0.121789,proxy_limited
Dhaka,54342,0,0.007674,0.992326,0.105167,0.103934,0.108848,proxy_limited
Shanghai,29008,0,0.007963,0.992037,0.175124,0.0625,0.178054,proxy_limited
Beijing,47980,0,0.010942,0.989058,0.03416,0.056878,0.03737,proxy_limited
Lagos,131976,583,0.011358,0.988642,0.011654,0.013465,0.012176,proxy_limited
Tokyo,80820,552,0.012967,0.987033,0.064365,0.069327,0.068263,proxy_limited
Seoul,25920,0,0.021721,0.978279,0.146489,0.055671,0.162384,proxy_limited
Paris,22992,0,0.031446,0.968554,0.609777,0.627566,0.618085,proxy_limited
Dubai,23044,552,0.046216,0.953784,0.05138,0.065136,0.055112,proxy_limited
Lima,58466,0,0.064311,0.935689,0.078918,0.062002,0.084323,proxy_limited
Madrid,22124,0,0.090852,0.909148,0.719355,0.184054,0.722021,proxy_limited
Singapore,17078,583,0.123258,0.876742,0.208163,0.294063,0.221045,actionable
London,37890,552,0.181948,0.818052,0.438981,0.345579,0.485273,actionable
Sydney,6030,359,0.216418,0.783582,0.508126,0.489552,0.522886,actionable
Sao_Paulo,50504,0,0.934857,0.065143,0.014613,0.004118,0.017405,proxy_limited
New_York,186809,552,0.980306,0.019694,0.136171,0.04988,0.142611,actionable
Los_Angeles,53343,0,0.990158,0.009842,0.914853,0.012148,0.917946,proxy_limited
